Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014]
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.59356282283204,9.28010608956873,8.30165975585673,3.21176803803376,3.73297621216894,3.66485028376729,3.44637335032669,8.73914352329393,9.02990102416136,6.32904015516139
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.947,9.231,13.158,13.697,11.936,12.329,12.792,11.58,8.538,6.755
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.2,80.5,80.7,81.3,73.9,70.4,67.5,60.9,58.3,54.6
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,73.425,72.75,74.009,75.338,75.109,74.827,74.442,74.332,74.306
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.395928695574996,0.360180890872169,0.425360907216456,0.579350709708032,0.651994346081362,0.683439571425594,0.72824666001736,0.761972670496742,0.791721773592796,0.806314177734439
Brazil,BRA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,83.6989369386242,79.1023218878495,85.0115036701985,98.7098819546545,92.5652531882782,86.6078841199146,83.6692026509366,73.4188038096758,67.5375540277116,58.4572711058609
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,94.6900024414062,..,..,..,93,93,93,92,92
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,3380854520809.54,3114042471144.39,3143323050707.26,2696778386607.65,2851407164907.81,2871340347581.79,2680148052335.3,2689106566899.61,2927911140916.73,3064708247921.43
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.79396706793963,7.92204883147902,2.51837109614213,0.989486703772491,1.73810460086513,2.29283990345938,2.55775577557747,1.0084173681141,0.36804684232536,1.45112016293279
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.984,3.73,4.826,4.472,3.613,4.12,4.452,4.867,5.517,6.363
United Kingdom,GBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.3,96.3,96.2,94.8,92.5,90.7,90.4,94.8,92,91.6
